,mal_id,title_english,popularity,score,rating,genres,studios,themes,demographics,synopsis,neighbor,cluster,images_url
33,45576,Mushoku Tensei: Jobless Reincarnation Part 2,249,8.72,R - 17+ (violence & profanity),"['Drama', 'Fantasy', 'Ecchi']",Studio Bind,"['Isekai', 'Reincarnation']",[],"['magic', 'advice', 'world', 'home', 'orsted', 'eris', 'life', 'human', 'god', 'rudeus']","[113, 242, 265, 303]",31,https://cdn.myanimelist.net/images/anime/1028/117777.jpg
34,46102,Odd Taxi,575,8.71,PG-13 - Teens 13 or older,"['Award Winning', 'Mystery']","['OLM', 'P.I.C.S.']",Anthropomorphic,[],"['driver', 'series', 'conversations', 'missing', 'girl', 'odokawa', 'police', 'set', 'school', 'taxi']","[490, 132, 713, 378, 296, 401, 774, 368, 820, 74, 276, 139, 169, 231, 665, 255, 44, 722, 728, 590, 553, 282, 499, 52, 539, 814, 324, 124, 676, 737, 449, 852, 502, 60, 706, 448, 228, 698, 691, 807, 545]",9,https://cdn.myanimelist.net/images/anime/1981/113348.jpg
35,48569,86 Eighty-Six Part 2,535,8.71,R - 17+ (violence & profanity),"['Action', 'Drama', 'Sci-Fi']",A-1 Pictures,"['Mecha', 'Military']",[],"['spearhead', 'military', 'alba', 'lena', 'san', 'colorata', 'war', 'empire', '86', 'republic']","[165, 286, 179, 245, 266, 14, 491, 29, 37, 830, 494, 734, 435, 551, 538, 473, 645, 742, 780, 420, 366, 379, 844, 593, 446, 557, 510, 409, 395, 243, 335, 562, 771, 682]",23,https://cdn.myanimelist.net/images/anime/1321/117508.jpg
36,2921,Tomorrow's Joe 2,2928,8.71,PG-13 - Teens 13 or older,"['Action', 'Drama', 'Slice of Life', 'Sports']",Tokyo Movie Shinsha,Combat Sports,Shounen,"['danpei', 'josé', 'nishi', 'match', 'champion', 'carlos', 'boxing', 'fight', 'rikiishi', 'joe']","[149, 57, 30, 45, 22, 48, 88]",2,https://cdn.myanimelist.net/images/anime/3/45028.jpg
37,1575,Code Geass: Lelouch of the Rebellion,19,8.7,R - 17+ (violence & profanity),"['Action', 'Drama', 'Sci-Fi']",Sunrise,"['Mecha', 'Military', 'School', 'Super Power']",[],"['onslaught', 'rewrite', 'lamperouge', '11', 'area', 'japan', 'power', 'britannian', 'lelouch', 'britannia']","[179, 286, 35, 165, 491, 245, 266, 29, 14, 830, 494, 734, 551, 473, 538, 645, 435, 742, 844, 366, 379, 593, 420, 446, 557, 780, 395, 409, 510, 335, 243, 562, 771, 682]",23,https://cdn.myanimelist.net/images/anime/5/50331.jpg
38,41084,Made in Abyss: The Golden City of the Scorching Sun,647,8.7,R - 17+ (violence & profanity),"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Kinema Citrus,"['Gore', 'Survival']",[],"['cave', 'belchero', 'curse', 'friends', 'dangerous', 'mother', 'reg', 'white', 'riko', 'abyss']","[42, 614, 751, 708, 93, 121, 176, 678, 479, 725, 853, 99, 209, 290, 639, 125, 268, 831, 432, 541, 128, 826, 192, 399, 355, 421, 573, 654, 79, 3, 731, 584]",11,https://cdn.myanimelist.net/images/anime/1864/122519.jpg
39,21939,Mushi-shi: Next Passage Part 1,750,8.7,PG-13 - Teens 13 or older,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",Artland,"['Adult Cast', 'Historical', 'Iyashikei']",Seinen,"['humanity', 'came', 'ones', 'decide', 'suffer', 'known', 'ginko', 'strange', 'mushishi', 'mushi']","[31, 43, 543, 212, 86, 547, 762, 238, 653, 372, 223, 729, 609, 117, 483, 580, 689, 670, 193, 578, 108, 11, 452, 114, 163, 770, 606, 76, 724, 349, 453, 859, 552, 422]",10,https://cdn.myanimelist.net/images/anime/13/58533.jpg
40,245,Great Teacher Onizuka,214,8.69,R - 17+ (violence & profanity),"['Comedy', 'Drama']",Pierrot,"['Delinquents', 'School', 'Workplace']",Shounen,"['sleep', 'second', 'student', 'teaching', 'girls', 'students', 'old', 'life', 'onizuka', 'teacher']","[686, 407, 275, 500, 696, 413, 264, 488, 299, 247, 330, 234, 277, 356, 211, 370, 694, 157, 544, 104, 542, 103, 195, 800, 280, 804, 822, 354, 81, 254, 690, 808, 236, 318, 186, 441, 258, 715, 845, 455, 92, 824, 216, 327, 232, 834, 818, 381, 160, 477, 550, 199, 805, 560, 792, 251, 720, 664, 548, 363, 743, 369, 836, 484, 313, 661, 233]",5,https://cdn.myanimelist.net/images/anime/13/11460.jpg
41,21,One Piece,23,8.68,PG-13 - Teens 13 or older,"['Action', 'Adventure', 'Fantasy']",Toei Animation,[],Shounen,"['king', 'brought', 'roger', 'treasure', 'line', 'luffy', 'world', 'grand', 'piece', 'pirate']","[295, 536, 667, 579, 693, 8, 486, 635, 184, 416, 388, 747, 748, 171, 326, 217, 519, 802, 567, 555, 497, 501, 625, 668, 334, 485, 298, 153, 151, 1, 191, 511, 793, 394, 257, 569, 533]",6,https://cdn.myanimelist.net/images/anime/6/73245.jpg
42,34599,Made in Abyss,91,8.67,R - 17+ (violence & profanity),"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Kinema Citrus,"['Gore', 'Survival']",[],"['cave', 'belchero', 'curse', 'friends', 'dangerous', 'mother', 'reg', 'white', 'riko', 'abyss']","[38, 614, 751, 708, 93, 121, 176, 678, 479, 725, 853, 99, 209, 290, 639, 125, 268, 831, 432, 541, 128, 826, 192, 399, 355, 421, 573, 654, 79, 3, 731, 584]",11,https://cdn.myanimelist.net/images/anime/6/86733.jpg
43,457,Mushi-Shi,204,8.67,PG-13 - Teens 13 or older,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",Artland,"['Adult Cast', 'Historical', 'Iyashikei']",Seinen,"['ethereal', 'wandering', 'story', 'series', 'ability', 'place', 'people', 'primitive', 'ginko', 'mushi']","[31, 39, 543, 86, 212, 547, 762, 238, 653, 372, 223, 729, 609, 117, 483, 580, 670, 689, 11, 108, 193, 578, 452, 114, 163, 770, 606, 76, 724, 349, 453, 859, 552, 422]",10,https://cdn.myanimelist.net/images/anime/2/73862.jpg
44,33352,Violet Evergarden,51,8.67,PG-13 - Teens 13 or older,"['Drama', 'Fantasy']",Kyoto Animation,[],[],"['written', 'guardian', 'new', 'memory', 'work', 'words', 'war', 'doll', 'auto', 'violet']","[139, 665, 553, 255, 722, 324, 124, 590, 737, 276, 499, 728, 74, 296, 378, 368, 774, 52, 169, 713, 820, 282, 814, 132, 449, 60, 676, 231, 852, 490, 401, 502, 706, 448, 698, 539, 34, 807, 691, 228, 545]",9,https://cdn.myanimelist.net/images/anime/1795/95088.jpg
45,5258,Fighting Spirit: New Challenger,822,8.66,PG-13 - Teens 13 or older,Sports,Madhouse,Combat Sports,Shounen,"['professional', 'champion', 'world', 'boxer', 'gym', 'miyata', 'kamogawa', 'boxing', 'takamura', 'ippo']","[30, 57, 36, 149, 22, 48, 88]",2,https://cdn.myanimelist.net/images/anime/8/56617.jpg
